2024-11-02 22:42:35,416 INFO    MainThread:24330 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
config: {'algorithm': {'clip_param': 0.2, 'desired_kl': 0.01, 'entropy_coef': 0.001, 'gamma': 0.994, 'lam': 0.9, 'learning_rate': 1e-05, 'max_grad_norm': 1.0, 'num_learning_epochs': 2, 'num_mini_batches': 4, 'schedule': 'adaptive', 'use_clipped_value_loss': True, 'value_loss_coef': 1.0}, 'init_member_classes': {}, 'policy': {'actor_hidden_dims': [512, 256, 128], 'critic_hidden_dims': [768, 256, 128], 'init_noise_std': 1.0}, 'runner': {'algorithm_class_name': 'PPO', 'checkpoint': -1, 'experiment_name': 'XBot_ppo', 'load_run': -1, 'max_iterations': 500, 'num_steps_per_env': 60, 'policy_class_name': 'ActorCritic', 'resume': False, 'resume_path': None, 'run_name': 'baseline', 'save_interval': 100}, 'runner_class_name': 'OnPolicyRunner', 'seed': 5, 'asset': {'angular_damping': 0.0, 'armature': 0.0, 'collapse_fixed_joints': True, 'default_dof_drive_mode': 3, 'density': 0.001, 'disable_gravity': False, 'file': '{LEGGED_GYM_ROOT_DIR}/resources/robots/XBot/urdf/XBot-L.urdf', 'fix_base_link': False, 'flip_visual_attachments': False, 'foot_name': 'ankle_roll', 'knee_name': 'knee', 'linear_damping': 0.0, 'max_angular_velocity': 1000.0, 'max_linear_velocity': 1000.0, 'name': 'XBot-L', 'penalize_contacts_on': ['base_link'], 'replace_cylinder_with_capsule': False, 'self_collisions': 0, 'terminate_after_contacts_on': ['base_link'], 'thickness': 0.01}, 'commands': {'curriculum': False, 'heading_command': False, 'max_curriculum': 1.0, 'num_commands': 4, 'ranges': {'ang_vel_yaw': [-0.3, 0.3], 'heading': [-3.14, 3.14], 'lin_vel_x': [-0.3, 0.6], 'lin_vel_y': [-0.3, 0.3]}, 'resampling_time': 8.0}, 'control': {'action_scale': 0.25, 'damping': {'leg_roll': 10, 'leg_pitch': 10, 'leg_yaw': 10, 'knee': 10, 'ankle': 10}, 'decimation': 10, 'stiffness': {'leg_roll': 200.0, 'leg_pitch': 350.0, 'leg_yaw': 200.0, 'knee': 350.0, 'ankle': 15}}, 'domain_rand': {'action_delay': 0.0, 'action_noise': 0.0, 'added_mass_range': [-5.0, 5.0], 'friction_range': [0.1, 2.0], 'max_push_ang_vel': 0.4, 'max_push_vel_xy': 0.2, 'push_interval': 400.0, 'push_interval_s': 4, 'push_robots': False, 'randomize_base_mass': False, 'randomize_friction': False}, 'env': {'c_frame_stack': 3, 'env_spacing': 3.0, 'episode_length_s': 24, 'frame_stack': 15, 'num_actions': 12, 'num_envs': 1000, 'num_height_points': 25, 'num_observations': 705, 'num_privileged_obs': 294, 'num_single_obs': 47, 'send_timeouts': True, 'single_num_privileged_obs': 98, 'use_ref_actions': False}, 'init_state': {'ang_vel': [0.0, 0.0, 0.0], 'default_joint_angles': {'left_leg_roll_joint': 0.0, 'left_leg_yaw_joint': 0.0, 'left_leg_pitch_joint': 0.0, 'left_knee_joint': 0.0, 'left_ankle_pitch_joint': 0.0, 'left_ankle_roll_joint': 0.0, 'right_leg_roll_joint': 0.0, 'right_leg_yaw_joint': 0.0, 'right_leg_pitch_joint': 0.0, 'right_knee_joint': 0.0, 'right_ankle_pitch_joint': 0.0, 'right_ankle_roll_joint': 0.0}, 'lin_vel': [0.0, 0.0, 0.0], 'pos': [0.0, 0.0, 0.95], 'rot': [0.0, 0.0, 0.0, 1.0]}, 'noise': {'add_noise': False, 'noise_level': 0.6, 'noise_scales': {'ang_vel': 0.1, 'dof_pos': 0.05, 'dof_vel': 0.5, 'height_measurements': 0.1, 'lin_vel': 0.05, 'quat': 0.03}}, 'normalization': {'clip_actions': 18.0, 'clip_observations': 18.0, 'obs_scales': {'ang_vel': 1.0, 'dof_pos': 1.0, 'dof_vel': 0.05, 'height_measurements': 5.0, 'lin_vel': 2.0, 'quat': 1.0}}, 'rewards': {'base_height_target': 0.89, 'cycle_time': 0.64, 'max_contact_force': 700, 'max_dist': 0.5, 'min_dist': 0.2, 'only_positive_rewards': True, 'scales': {'action_smoothness': -0.002, 'base_acc': 0.2, 'base_height': 0.2, 'collision': -1.0, 'default_joint_pos': 0.5, 'dof_acc': -1e-07, 'dof_vel': -0.0005, 'feet_air_time': 1.0, 'feet_clearance': 1.0, 'feet_contact_forces': -0.01, 'feet_contact_number': 1.2, 'feet_distance': 0.2, 'foot_slip': -0.05, 'joint_pos': 1.6, 'knee_distance': 0.2, 'low_speed': 0.2, 'orientation': 1.0, 'torques': -1e-05, 'track_vel_hard': 0.5, 'tracking_ang_vel': 1.1, 'tracking_lin_vel': 1.2, 'vel_mismatch_exp': 0.5}, 'target_feet_height': 0.06, 'target_joint_pos_scale': 0.17, 'tracking_sigma': 5}, 'safety': {'pos_limit': 1.0, 'torque_limit': 0.85, 'vel_limit': 1.0}, 'sim': {'dt': 0.001, 'gravity': [0.0, 0.0, -9.81], 'physx': {'bounce_threshold_velocity': 0.1, 'contact_collection': 2, 'contact_offset': 0.01, 'default_buffer_size_multiplier': 5, 'max_depenetration_velocity': 1.0, 'max_gpu_contact_pairs': 8388608, 'num_position_iterations': 4, 'num_threads': 10, 'num_velocity_iterations': 1, 'rest_offset': 0.0, 'solver_type': 1}, 'substeps': 1, 'up_axis': 1}, 'terrain': {'border_size': 25, 'curriculum': False, 'dynamic_friction': 0.6, 'fix_level': None, 'horizontal_scale': 0.1, 'max_init_terrain_level': 0, 'measure_heights': True, 'measured_points_x': [-0.1, 0.0, 0.1, 0.2, 0.3], 'measured_points_y': [-0.2, -0.1, 0.0, 0.1, 0.2], 'mesh_type': 'plane', 'num_cols': 2, 'num_rows': 10, 'restitution': 0.0, 'selected': False, 'slope_treshold': 0.0, 'static_friction': 0.6, 'terrain_kwargs': None, 'terrain_length': 8.0, 'terrain_proportions': [0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5], 'terrain_width': 8.0, 'vertical_scale': 0.005}, 'viewer': {'lookat': [11.0, 5, 3.0], 'pos': [10, 0, 6], 'ref_env': 0}}
2024-11-02 22:42:35,419 INFO    MainThread:24330 [wandb_init.py:init():671] starting backend
2024-11-02 22:42:35,419 INFO    MainThread:24330 [wandb_init.py:init():675] sending inform_init request
2024-11-02 22:42:35,422 INFO    MainThread:24330 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-02 22:42:35,422 INFO    MainThread:24330 [wandb_init.py:init():688] backend started and connected
2024-11-02 22:42:35,435 INFO    MainThread:24330 [wandb_init.py:init():783] updated telemetry
2024-11-02 22:42:35,436 INFO    MainThread:24330 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-02 22:42:36,064 INFO    MainThread:24330 [wandb_init.py:init():867] starting run threads in backend
2024-11-02 22:42:36,201 INFO    MainThread:24330 [wandb_run.py:_console_start():2463] atexit reg
2024-11-02 22:42:36,201 INFO    MainThread:24330 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-02 22:42:36,202 INFO    MainThread:24330 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-02 22:42:36,202 INFO    MainThread:24330 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-02 22:42:36,204 INFO    MainThread:24330 [wandb_init.py:init():911] run started, returning control to user process
2024-11-02 22:42:36,205 INFO    MainThread:24330 [wandb_run.py:_tensorboard_callback():1552] tensorboard callback: /home/ubec/humanoid-gym/logs/XBot_ppo/2024-11-02_22-42-13_baseline, True
2024-11-02 23:27:07,863 WARNING MsgRouterThr:24330 [router.py:message_loop():77] message_loop has been closed
